lemma,definition
كَسْو,مصدر لفعل كَسَا
وَدَائِع,جمع للاسم وَدِيع
نَهْش,قلَّة لحم الفَخِذَين.
نَعُوس,مبالغة نَاعِس.
جِلَّق,من أسماء مدينة دِمَشْق أَو غوطتها أَو موْضِعٌ قُرْبَها.
تُرْبَة,التُّرَاب.
حَمُول,الحليم الصَّبُور.
مَعَاصِم,جمع للاسم مِعْصَم
أَسِينَة,سَيْر أَو نحوُه يُضفَر مع غيره فيُجعل حَبْلاً أَو عِنانًا أَو وَتَراً.
عَمْن,مصدر لفعل عَمَن
عَيَاثِيم,جمع للاسم عَيْثُوم
